ins_date,ytd_expenses,office,termination_date,cash_balance,committe_name,registration_date,candidate_name,ytd_revenues,district_num,location
2018-02-03,$0.00,Council Member,03/25/2016,$0.00,Richard Bohnen Volunteer Committee,06/19/2013,"Bohnen, Richard",$0.00,1,Bloomington
2018-02-03,"$25,595.60",Park Board,,"$3,063.23",Brad Bourn for Parks,04/17/2009,"Bourn, Brad","$19,953.67",6,Minneapolis
2018-02-03,$0.00,Council Member,03/03/2014,$0.00,Neighbors for Bradley,11/13/2012,"Bradley, Ken",$0.00,10,Minneapolis
2018-02-03,$0.00,Council Member,01/31/2014,$0.00,Kris Broberg for City Council,05/06/2009,"Broberg, Kris",$0.00,13,Minneapolis
2018-02-03,$0.00,Council Member,,$3.63,Citizens for Kris Brogan (Ward 13),03/04/1993,"Brogan, Kris",$0.00,13,Minneapolis
2018-02-03,$0.00,Council Member,01/21/2014,$0.00,Friends of Kris Brogan,03/04/2013,"Brogan, Kris",$0.00,4,Minneapolis
2018-02-03,$0.00,Mayor,04/02/2014,$-314.53,Bruyere for Minneapolis Mayor,10/22/2013,"Bruyere, Edmund",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,,"$8,100.75",Northside for Buckner,09/12/2012,"Buckner, Brett",$0.00,5,Minneapolis
2018-02-03,$0.00,Council Member,,$0.00,Bullard 4 Ward 12,09/05/2017,"Bullard, Harrison",$0.00,12,Minneapolis
2018-02-03,$0.00,Council Member,01/20/2015,$9.75,Russ for City Council,08/02/2011,"Burnison, Russ",$0.00,3,Bloomington
2018-02-03,$0.00,Council Member,,$369.60,Busse for Bloomington Committee,07/07/2011,"Busse, Tim",$0.00,At Large,Bloomington
2018-02-03,"$2,218.70",Commissioner,,"$11,679.81",Callison Volunteer Committee,03/24/2008,"Callison, Jan",$350.00,6,Hennepin County
2018-02-03,"$45,937.66",Council Member,,"$2,679.25",People for Alondra,01/06/2013,"Cano, Alondra","$34,324.99",9,Minneapolis
2018-02-03,$0.00,School Board,,$341.07,Kimberly Caprini for District 2 School Board Member,02/10/2016,"Caprini, Kimberly",$0.00,2,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,,$226.48,Jim Carey Volunteer Committee,11/23/1992,"Carey, Jim",$0.00,4,Hennepin County
2018-02-03,$0.00,Council Member,,$22.17,Carlson for City Council,05/03/2013,"Carlson, Robert (Andrew)",$0.00,2,Bloomington
2018-02-03,$0.00,Mayor,02/05/2015,$24.25,Bob Again,05/10/2013,"Carney Jr, Robert",$0.00,,Minneapolis
2018-02-03,$20.00,Mayor,10/30/2017,$0.00,Bobagain for Mayor,04/13/2017,"Carney Jr., Bob ""again""",$20.00,,Minneapolis
2018-02-03,$878.74,Park Board,,$681.26,Casserly for Minneapolis,10/31/2017,"Casserly, Charlie","$1,560.00",At large,Minneapolis
2018-02-03,$0.00,Council Member,01/31/2014,$9.37,Casserly for City Council,09/03/2013,"Casserly, Charlie",$0.00,12,Minneapolis
2018-02-03,$0.00,Council Member,,"$2,084.89",Reva Chamblis Campaign Committee,05/20/2013,"Chamblis, Reva",$0.00,East,Brooklyn Park
2018-02-03,$0.00,Mayor,01/25/2016,$0.00,Cherryhomes for Mayor,02/04/2013,"Cherryhomes, Jackie",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,,$718.91,Cobia for City Council,08/19/2009,"Cobia, Jeffrey",$0.00,3,Minneapolis
2018-02-03,$0.00,Mayor,01/28/2015,$0.00,Dan Cohen for Mayor,06/04/2013,"Cohen, Daniel",$0.00,,Minneapolis
2018-02-03,"$12,680.97",Park Board,,"$1,412.00",Friends of Jeanette,01/11/2017,"Colby, Jeanette","$14,093.00",4,Minneapolis
2018-02-03,$7.29,Council Member,,"$3,900.35",Colvin Roy for City Council (Ward 12),01/09/1997,"Colvin Roy, Sandra",$0.00,12,Minneapolis
2018-02-03,$0.00,Commissioner,,$0.00,Friends of Angela Conley,10/20/2017,"Conley, Angela",$0.00,4,Hennepin County
2018-02-03,$0.00,Commissioner,02/27/2017,$83.19,John Cooney Volunteer Committee,03/04/2008,"Cooney, John",$0.00,6,Hennepin County
2018-02-03,"$13,866.16",Council Member,,$69.84,Neighbors for Nathan,03/01/2017,"Coulter, Nathan","$13,936.00",At large,Bloomington
2018-02-03,"$8,141.39",Park Board,,"$1,705.52",Jono 4 Parks,03/21/2017,"Cowgill, Jono","$9,846.91",4,Minneapolis
2018-02-03,$0.00,Mayor,03/04/2013,$0.00,Steve Cramer for Mayor Volunteer Committee,11/04/1992,"Cramer, Steve",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,03/22/2013,$25.00,Committee to Reelect Peter Crema,07/20/2012,"Crema, Peter",$0.00,East,Brooklyn Park
2018-02-03,"$26,348.69",Council Member,,"$9,536.25",Northside Neighbors for Cunningham,11/28/2016,"Cunningham, Phillipe","$33,004.40",4,Minneapolis
2018-02-03,$0.00,Council Member,01/30/2015,$0.00,Curtis for City Council,03/15/2013,"Curtis, Charles",$0.00,9,Minneapolis
2018-02-03,$0.00,Commissioner,02/19/2013,$0.00,Jill Davis for Hennepin  County,03/13/2012,"Davis, Jill",$0.00,2,Hennepin County
2018-02-03,$0.00,School Board,01/23/2013,$0.00,Jill Davis for School Board,01/23/2006,"Davis, Jill A.",$0.00,,Minneapolis
2018-02-03,$0.00,Commissioner,11/20/2012,$57.00,Dehler Volunteer Committee,05/21/2012,"Dehler, Steve",$0.00,2,Hennepin County
2018-02-03,"$100,271.38",Mayor,,"$12,271.47",Neighbors United for Raymond Dehn,12/30/2016,"Dehn, Raymond","$106,664.26",,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,,$296.30,Friends of Jennifer DeJournett,08/29/2012,"DeJournett, Jennifer",$0.00,2,Hennepin County
2018-02-03,"$27,032.71",Park Board,,"$1,676.14",Derus for Parks Committee,06/22/2016,"Derus, Michael","$20,441.46",At large,Minneapolis
2018-02-03,$0.00,Commissioner,02/24/2015,"$4,025.36",Dorfman for County Commissioner (3),03/30/1999,"Dorfman, Gail",$0.00,3,Hennepin County
2018-02-03,$0.00,Council Member,01/15/2016,$0.00,Neighbors for Missy Durant,04/06/2013,"Durant, Missy",$0.00,13,Minneapolis
2018-02-03,$0.00,Park Board,03/06/2013,"$-3,899.56",Dziedzic for Park Board (Park 1),05/28/1997,"Dziedzic, Walter",$0.00,1,Minneapolis
2018-02-03,$0.00,Council Member,,$225.54,Eberhardy for Ward 9,09/09/2009,"Eberhardy, Todd J.",$0.00,9,Minneapolis
2018-02-03,"$49,142.43",Council Member,,"$3,028.53",Neighbors for Jeremiah,12/02/2016,"Ellison, Jeremiah","$46,861.78",5,Minneapolis
2018-02-03,$0.00,School Board,,"$3,064.20",Kim Ellison for Students,05/24/2012,"Ellison, Kim",$0.00,2,Minneapolis
2018-02-03,$209.98,School Board,01/10/2018,$0.00,Joseph Erickson Volunteer Committee (School Bd),06/08/2001,"Erickson, Joseph A.",$0.00,At large,Minneapolis
2018-02-03,$0.00,Commissioner,01/30/2013,$0.00,Rolf Erickson for Commissioner,06/15/2012,"Erickson, Rolf",$0.00,2,Hennepin County
2018-02-03,$144.83,Park Board,,$0.00,Erwin for Park Board (At Large),06/20/2001,"Erwin, John",$0.00,At large,Minneapolis
2018-02-03,$0.00,Council Member,05/20/2013,$11.12,Communities United for Jeanine Estime,05/01/2009,"Estime, Jeanine",$0.00,8,Minneapolis
2018-02-03,$686.10,Park Board,,$218.70,Charles Exner for Parks,08/07/2017,"Exner, Charles",$904.90,3,Minneapolis
2018-02-03,"$16,285.93",Council Member,,"$1,254.07",Neighbors for Adam Faitek,02/28/2017,"Faitek, Adam","$17,540.00",13,Minneapolis
2018-02-03,"$31,651.07",Council Member,,$28.14,Friends for Farah,10/28/2016,"Farah, Mohamed","$21,512.46",9,Minneapolis
2018-02-03,$0.00,School Board,,$358.34,KerryJo 4 School Board,03/18/2016,"Felder, KerryJo",$0.00,2,Minneapolis
2018-02-03,"$18,675.02",Commissioner,,"$11,920.98",Neighbors for Irene,10/03/2017,"Fernando, Irene","$30,596.00",2,Hennepin County
2018-02-03,"$1,625.30",Park Board,,"$12,264.70",Fine for Parks Vol Comm,08/25/2017,"Fine, Bob","$13,890.00",6,Minneapolis
2018-02-03,"$1,500.00",Mayor,,$0.00,Fine for Mayor,08/06/2013,"Fine, Bob","$1,500.00",,Minneapolis
2018-02-03,$0.00,Park Board,01/20/2015,$0.00,Fine for Parks Volunteer Committee,07/11/2005,"Fine, Bob",$0.00,6,Minneapolis
2018-02-03,$0.00,Park Board,,$600.00,Fine for Parks-At Large,09/05/2009,"Fine, Bob",$0.00,At large,Minneapolis
2018-02-03,$0.00,School Board,05/11/2017,$0.00,Friends of Peggy Flanagan,03/26/2004,"Flanagan, Margaret Ann Hartmann",$0.00,At large,Minneapolis
2018-02-03,$0.00,Council Member,,$67.47,Pat Fleetham 4 Mpls City Council,04/16/2013,"Fleetham, Patrick",$0.00,9,Minneapolis
2018-02-03,"$49,771.96",Council Member,,"$2,127.99",Neighbors for Fletcher,01/09/2017,"Fletcher, Steven","$51,899.95",3,Minneapolis
2018-02-03,"$78,656.19",Council Member,,"$4,988.69",Neighbors for Janne,11/10/2016,"Flisrand, Janne","$64,343.90",7,Minneapolis
2018-02-03,"$6,860.87",Mayor,,$-389.19,Truth to the People Campaign Committee,04/19/2017,"Flowers, Al","$6,471.68",,Minneapolis
2018-02-03,"$1,618.34",Council Member,,$8.91,Vote Tiffini 2017,01/30/2017,"Flynn Forslund, Tiffini","$1,627.25",6,Minneapolis
2018-02-03,"$54,849.69",Park Board,,$200.75,Meg Forney for Parks,09/05/2013,"Forney, Meg","$42,419.55",At large,Minneapolis
2018-02-03,$0.00,Council Member,08/07/2017,$0.00,Friends for Ken Foxworth,03/20/2013,"Foxworth, Kenneth",$0.00,5,Minneapolis
2018-02-03,$0.00,Mayor,09/03/2013,$0.00,Dick Franson for Mayor Volunteer Committee,02/01/2013,"Franson, Dick",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,01/29/2014,$0.00,Dick Franson for 12th Ward Council Member Vol Comm,06/24/2013,"Franson, Dick",$0.00,12,Minneapolis
2018-02-03,$0.00,School Board,01/30/2015,$94.99,"""Dick"" Franson for School Bd Vol Com",05/28/2014,"Franson, Dick",$0.00,At Large,Minneapolis
2018-02-03,"$1,064.87",Park Board,,"$1,874.92",Neighbors for Addy,03/07/2017,"Free, Addy","$2,939.79",4,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,,$883.85,Freeman Volunteer Committee,07/12/2012,"Freeman, Daniel",$0.00,3,Hennepin County
2018-02-03,"$10,762.67",County Attorney,,"$45,734.01",Return Mike Freeman - Hennepin County Attorney,09/09/2005,"Freeman, Michael O.","$25,123.00",,Hennepin County
2018-02-03,"$16,326.79",Park Board,,$115.23,French for Parks,12/19/2016,"French, Londel","$15,718.12",At large,Minneapolis
2018-02-03,"$776,401.44",Mayor,,"$6,998.50",Jacob Frey for Our City,10/05/2012,"Frey, Jacob","$605,772.74",,Minneapolis
2018-02-03,$0.00,Sheriff,02/03/2015,$0.00,Campaign Fund of Eddie M Frizell,07/03/2014,"Frizell, Eddie",$0.00,,Hennepin County
2018-02-03,$924.65,Council Member,01/12/2018,$0.00,Frost for Council,06/14/2017,"Frost, Larry",$924.65,3,Bloomington
2018-02-03,$0.00,School Board,,$908.61,Rebecca Gagnon's Campaign Fund,06/08/2010,"Gagnon, Rebecca",$0.00,At Large,Minneapolis
2018-02-03,"$12,423.39",Council Member,,$-80.60,United for Stephanie,12/23/2016,"Gasca, Stephanie","$11,935.75",4,Minneapolis
2018-02-03,$0.00,Council Member,11/21/2016,$43.99,Gaskins for City Council,05/20/2016,"Gaskins, Robert",$0.00,East,Brooklyn Park
2018-02-03,$0.00,Council Member,,$0.00,Rich Gates for City Council,09/02/2014,"Gates, Rich",$0.00,Central,Brooklyn Park
2018-02-03,$0.00,Council Member,02/01/2013,$0.00,Terry Gearin Election Committee,06/22/2012,"Gearin, Terry",$0.00,West,Brooklyn Park
2018-02-03,$0.00,Mayor,11/13/2017,$0.00,Charlie for Mayor,08/21/2017,"Gers, Charlie",$0.00,,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,,$19.41,John Gibbs Volunteer Committee,09/13/2010,"Gibbs, John",$0.00,5,Hennepin County
2018-02-03,$0.00,Council Member,02/19/2015,$0.00,Ben Gisselman for Ward 12,08/12/2013,"Gisselman, Ben",$0.00,12,Minneapolis
2018-02-03,$0.00,Council Member,,"$3,665.58",Volunteers for Elizabeth Glidden,01/03/2004,"Glidden, Elizabeth",$0.00,8,Minneapolis
2018-02-03,"$10,530.90",Commissioner,,"$8,244.38",Debbie Goettel for Hennepin County,05/18/2016,"Goettel, Debbie","$10,245.00",5,Hennepin County
2018-02-03,"$143,769.27",Council Member,,"$107,059.03",Friends for Lisa Goodman,02/07/1997,"Goodman, Lisa","$117,663.13",7,Minneapolis
2018-02-03,"$4,975.02",Council Member,,"$4,148.53",Neighbors for Cam Gordon,12/28/2000,"Gordon, Cam",$583.00,2,Minneapolis
2018-02-03,$0.00,Park Board,01/04/2013,$28.88,Graves Volunteer Committee (Park At Large),06/07/1993,"Graves, Rochelle Berry",$0.00,At Large,Minneapolis
2018-02-03,"$12,237.98",Commissioner,,"$51,292.60",Marion for Hennepin,12/06/2013,"Greene, Marion","$27,290.00",3,Hennepin County
2018-02-03,$0.00,Council Member,11/25/2014,$0.00,Gronquist for City Council,04/26/2013,"Gronquist, Kristina",$0.00,3,Minneapolis
2018-02-03,$0.00,Park Board,05/04/2015,$0.00,Guest for Parks,09/08/2009,"Guest, Michael",$0.00,2,Minneapolis
2018-02-03,$368.00,Three Rivers Park District,,$832.90,Committee to Elect John Gunyou,06/08/2012,"Gunyou, John",$0.00,4,Hennepin County
2018-02-03,$0.00,Three Rivers Park District,12/28/2012,$99.99,Haggerty for Parks Commissioner,07/31/2006,"Haggerty, Mark",$0.00,3,Hennepin County
2018-02-03,$800.00,Council Member,12/29/2017,$0.00,Dana Hansen for Ward 4,08/14/2017,"Hansen, Dana",$800.00,4,Minneapolis
2018-02-03,$0.00,Council Member,,$371.81,Amy S Hanson for City Council,06/16/2016,"Hanson, Amy",$0.00,West,Brooklyn Park
2018-02-03,$0.00,School Board,,$0.00,Sandra Harp Volunteer Committee (School Board),09/08/1987,"Harp, Sandra",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,01/21/2015,$0.00,John L  Hartwig for Mayor,08/20/2013,"Hartwig, John",$0.00,,Minneapolis
2018-02-03,"$12,820.58",Park Board,,"$1,381.46",AK Hassan for Minneapolis Parks,12/20/2016,"Hassan, Abdikadir","$14,202.04",3,Minneapolis
2018-02-03,$0.00,Commissioner,01/29/2015,$0.00,Hatt for Hennepin County Commissioner,12/02/2013,"Hatt, Katie",$0.00,3,Hennepin County
2018-02-03,"$7,118.10",Council Member,,$661.92,Hayden for Ward One,04/24/2017,"Hayden, John","$7,780.62",1,Minneapolis
2018-02-03,$0.00,Council Member,02/02/2016,$0.00,Heinen for City Council,08/12/2015,"Heinen, Kevin",$0.00,At Large,Bloomington
2018-02-03,"$22,245.41",Park Board,,"$1,211.43",Russ Henry for Park Board,03/03/2016,"Henry, Russ","$20,771.00",At large,Minneapolis
2018-02-03,"$1,282.95",Commissioner,,"$9,274.15",Volunteers for Higgins,03/02/2012,"Higgins, Linda",$100.00,2,Hennepin County
2018-02-03,"$6,600.94",Council Member,01/16/2018,$9.06,Friends of Susan for Ward 3,02/03/2017,"Higgins, Susan","$6,610.00",3,Minneapolis
2018-02-03,$0.00,Park Board,02/02/2015,$84.88,Neighbors for Casper Hill,09/13/2013,"Hill, Casper",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Council Member,01/24/2014,$86.12,Jettie Ann Hill for City Council,03/22/2013,"Hill, Jettie Ann",$0.00,9,Minneapolis
2018-02-03,"$952,440.14",Mayor,,"$4,575.64",Tom Hoch for Minneapolis,02/09/2017,"Hoch, Tom","$957,015.78",,Minneapolis
2018-02-03,"$475,621.41",Mayor,,"$4,181.00",Hodges for Mayor,11/28/2012,"Hodges, Betsy","$438,632.20",,Minneapolis
2018-02-03,$0.00,Council Member,,"$2,314.86",Neighbors for Hodges,12/08/2004,"Hodges, Betsy",$0.00,13,Minneapolis
2018-02-03,$0.00,Council Member,01/30/2014,$87.96,Diane Hofstede for City Council,01/11/2005,"Hofstede, Diane",$0.00,3,Minneapolis
2018-02-03,"$9,779.72",Park Board,01/31/2018,$4.50,Devin for Parks,12/21/2016,"Hogan, Devin","$8,979.32",At large,Minneapolis
2018-02-03,$0.00,Council Member,02/11/2014,$83.95,Hohmann for City Council Committee,01/26/2005,"Hohmann, Michael",$0.00,13,Minneapolis
2018-02-03,$699.76,Council Member,,$45.24,Committee to Elect David Holsinger,08/07/2017,"Holsinger, David",$745.00,8,Minneapolis
2018-02-03,"$25,920.10",Mayor,08/01/2017,$0.00,Jonathan Honerbrink for Mayor,04/13/2017,"Honerbrink, Jonathan","$25,920.10",,Minneapolis
2018-02-03,"$16,116.92",Park Board,,$0.00,Jonathan for Minneapolis,08/01/2017,"Honerbrink, Jonathan","$16,116.92",At large,Minneapolis
2018-02-03,$0.00,Council Member,01/18/2017,$0.00,Tom Hulting for Council,09/02/2009,"Hulting, Thomas",$0.00,2,Bloomington
2018-02-03,$0.00,Council Member,12/17/2012,$0.00,Elect Dakota Huseby,06/18/2012,"Huseby, Dakota",$0.00,East,Brooklyn Park
2018-02-03,$0.00,Sheriff,,$0.00,Hutch for Sherriff Volunteer Committee,12/18/2017,"Hutch, Dave",$0.00,,Hennepin County
2018-02-03,$0.00,School Board,,"$2,021.06",Nelson Inz for Schools,02/10/2014,"Inz, Nelson",$0.00,5,Minneapolis
2018-02-03,$0.00,Park Board,01/31/2014,$0.00,Ishmael for Park Board Commissioner,09/27/2013,"Israel, Ishmael",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Council Member,01/03/2017,$0.00,James Jackson for Brooklyn Park City Council Race,08/02/2016,"Jackson, James",$0.00,Central,Brooklyn Park
2018-02-03,$0.00,Council Member,,$36.04,Lisa Jacobson for City Council,06/10/2016,"Jacobson, Lisa",$0.00,East,Brooklyn Park
2018-02-03,"$25,749.83",Council Member,,"$17,654.56",Andrea Jenkins for Ward 8,12/22/2016,"Jenkins, Andrea","$39,612.00",8,Minneapolis
2018-02-03,"$99,187.07",Council Member,,"$57,501.45",Vote Ginger Jentzen,02/02/2017,"Jentzen, Ginger","$156,688.52",3,Minneapolis
2018-02-03,"$38,652.92",Council Member,,"$37,320.89",Andrew Johnson for Minneapolis City Council,02/15/2013,"Johnson, Andrew","$30,107.00",12,Minneapolis
2018-02-03,"$146,139.00",Council Member,,"$13,295.00",Barb Johnson Volunteer Committee (Ward 4),02/11/1997,"Johnson, Barbara","$107,260.00",4,Minneapolis
2018-02-03,$0.00,School Board,11/29/2012,$0.00,Curtis Johnson for Minneapolis Schools,02/17/2012,"Johnson, Curtis",$0.00,6,Minneapolis
2018-02-03,"$1,622.50",Commissioner,,"$1,694.76",Jeff Johnson for County Commissioner,06/14/2007,"Johnson, Jeff R",$250.00,7,Hennepin County
2018-02-03,$0.00,Council Member,03/17/2014,$0.00,Ken Johnson Volunteer Committee,07/12/2013,"Johnson, Kenneth",$0.00,4,Bloomington
2018-02-03,"$7,514.42",Commissioner,,"$4,072.71",Friends of Randy Johnson (Commissioner 5),06/05/1980,"Johnson, Randy",$0.00,5,Hennepin County
2018-02-03,$0.00,Commissioner,02/24/2015,$44.80,Johnson4d2,03/16/2012,"Johnson, Tonia",$0.00,2,Hennepin County
2018-02-03,$0.00,Council Member,07/21/2016,$0.00,John Jordan for City Council,06/05/2012,"Jordan, John",$0.00,West,Brooklyn Park
2018-02-03,$0.00,School Board,02/02/2015,$0.00,Ira Jourdain for Mpls Board Education,04/11/2014,"Jourdain, Ira",$0.00,At large,Minneapolis
2018-02-03,$0.00,School Board,,"$1,798.71",Ira Jourdain for District 6,12/17/2015,"Jourdain, Ira",$0.00,6,Minneapolis
2018-02-03,$0.00,Mayor,,$0.00,Last Minneapolis Mayor Committee,10/29/2013,"Kahn, Bill",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,,$0.00,April Kane,08/25/2017,"Kane, April",$0.00,8,Minneapolis
2018-02-03,$0.00,Commissioner,02/02/2015,$0.00,Kelash for Commissioner,12/30/2013,"Kelash, Kenneth",$0.00,3,Hennepin County
2018-02-03,$0.00,Council Member,03/22/2015,$0.00,Kendal Killian for City Council,11/21/2012,"Killian, Kendal",$0.00,10,Minneapolis
2018-02-03,$0.00,School Board,02/06/2014,$0.00,Louis King Volunteer Committee (School Board),06/05/1995,"King, Louis",$0.00,,Minneapolis
2018-02-03,"$3,046.71",Council Member,,$27.83,Klevan Schmitz for Council,06/08/2017,"Klevan Schmitz, Lenny","$3,074.54",2,Bloomington
2018-02-03,$0.00,Commissioner,12/17/2012,$0.01,Jim Koepke Campaign,08/01/2012,"Koepke, Jim",$0.00,5,Hennepin County
2018-02-03,"$3,629.61",Council Member,,$50.14,Kovacs for City Council,04/19/2017,"Kovacs, Joseph","$3,679.75",7,Minneapolis
2018-02-03,$0.00,Library Board,01/31/2018,$1.89,Krueger for Library Board,07/26/1993,"Krueger, Rod",$0.00,,Minneapolis
2018-02-03,$134.32,Commissioner,,"$1,580.68",Neighbors for Megan,11/17/2017,"Kuhl-Stennes, Megan","$1,715.00",4,Hennepin County
2018-02-03,$0.00,Park Board,01/22/2014,$0.00,Supporters of Kummer for Park Board,03/10/2006,"Kummer, Carol",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,02/06/2017,$0.00,Elect Yelana S. Kurdyumova,07/20/2016,"Kurdyumova, Yelena",$0.00,West,Brooklyn Park
2018-02-03,$0.00,School Board,04/11/2017,$236.46,William Lange for School Board District 4,08/02/2012,"Lange, William",$0.00,4,Minneapolis
2018-02-03,$0.00,School Board,01/30/2015,$0.00,Jay Larson for School Board,07/31/2014,"Larson, Jay",$0.00,5,Minneapolis
2018-02-03,$0.00,Council Member,01/31/2014,$0.00,Lautenschlager for City Council,03/08/2013,"Lautenschlager, Chris",$0.00,12,Minneapolis
2018-02-03,$0.00,Council Member,12/20/2017,$0.00,White Working Mans Party,08/08/2005,"Leininger, Larry",$0.00,3,Minneapolis
2018-02-03,$0.00,Council Member,02/01/2017,$0.00,George Lessard,06/03/2016,"Lessard, George",$0.00,Central,Brooklyn Park
2018-02-03,"$39,379.98",Mayor,,"$10,687.93",Minneapolis for Nekima,12/22/2016,"Levy  Pounds, Nekima","$46,049.02",,Minneapolis
2018-02-03,$260.24,Council Member,,$19.76,Cheryl for City Council,07/07/2017,"Lewis, Cheryl",$280.00,2,Bloomington
2018-02-03,$0.00,Council Member,01/09/2015,$0.00,Vote Robert Campaign,10/07/2004,"Lilligren, Robert",$0.00,6,Minneapolis
2018-02-03,$0.00,Commissioner,02/03/2014,$0.00,Limmer for Commissioner Committee,10/02/2007,"Limmer, Warren",$0.00,7,Hennepin County
2018-02-03,$679.66,Mayor,,$130.60,Ron4MayorMpls,08/30/2017,"Lischeid, Ronald",$810.26,,Minneapolis
2018-02-03,$87.84,Council Member,,$566.89,Campaign Fund of Dwayne A Lowman for Bloomington,06/24/2013,"Lowman, Dwayne",$0.00,1,Bloomington
